PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Survived
1,3,male,22.0,1,0,7.25,S,Mr,0
2,1,female,38.0,1,0,71.2833,C,Mrs,1
3,3,female,26.0,0,0,7.925,S,Miss,1
4,1,female,35.0,1,0,53.1,S,Mrs,1
5,3,male,35.0,0,0,8.05,S,Mr,0
6,3,male,29.351297619047617,0,0,8.4583,Q,Mr,0
7,1,male,54.0,0,0,51.8625,S,Mr,0
8,3,male,2.0,3,1,21.075,S,Master,0
9,3,female,27.0,0,2,11.1333,S,Mrs,1
10,2,female,14.0,1,0,30.0708,C,Mrs,1
11,3,female,4.0,1,1,16.7,S,Miss,1
12,1,female,58.0,0,0,26.55,S,Miss,1
13,3,male,20.0,0,0,8.05,S,Mr,0
14,3,male,39.0,1,5,31.275,S,Mr,0
15,3,female,14.0,0,0,7.8542,S,Miss,0
16,2,female,55.0,0,0,16.0,S,Mrs,1
17,3,male,2.0,4,1,29.125,Q,Master,0
18,2,male,31.887685451080095,0,0,13.0,S,Mr,1
19,3,female,31.0,1,0,18.0,S,Mrs,0
20,3,female,38.97525581709956,0,0,7.225,C,Mrs,1
21,2,male,35.0,0,0,26.0,S,Mr,0
22,2,male,34.0,0,0,13.0,S,Mr,1
23,3,female,15.0,0,0,8.0292,Q,Miss,1
24,1,male,28.0,0,0,35.5,S,Mr,1
25,3,female,8.0,3,1,21.075,S,Miss,0
26,3,female,38.0,1,5,31.3875,S,Mrs,1
27,3,male,27.256516612848355,0,0,7.225,C,Mr,0
28,1,male,19.0,3,2,263.0,S,Mr,0
29,3,female,21.579024170274167,0,0,7.8792,Q,Miss,1
30,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
31,1,male,40.0,0,0,27.7208,C,Rare,0
32,1,female,40.455,1,0,146.5208,C,Mrs,1
33,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
34,2,male,66.0,0,0,10.5,S,Mr,0
35,1,male,28.0,1,0,82.1708,C,Mr,0
36,1,male,42.0,1,0,52.0,S,Mr,0
37,3,male,23.90057433064013,0,0,7.2292,C,Mr,1
38,3,male,21.0,0,0,8.05,S,Mr,0
39,3,female,18.0,2,0,18.0,S,Miss,0
40,3,female,14.0,1,0,11.2417,C,Miss,1
41,3,female,40.0,1,0,9.475,S,Mrs,0
42,2,female,27.0,1,0,21.0,S,Mrs,0
43,3,male,32.193794723294715,0,0,7.8958,C,Mr,0
44,2,female,3.0,1,2,41.5792,C,Miss,1
45,3,female,19.0,0,0,7.8792,Q,Miss,1
46,3,male,29.77810885753248,0,0,8.05,S,Mr,0
47,3,male,31.32748611111111,1,0,15.5,Q,Mr,0
48,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
49,3,male,21.694123015873014,2,0,21.6792,C,Mr,0
50,3,female,18.0,1,0,17.8,S,Mrs,0
51,3,male,7.0,4,1,39.6875,S,Master,0
52,3,male,21.0,0,0,7.8,S,Mr,0
53,1,female,49.0,1,0,76.7292,C,Mrs,1
54,2,female,29.0,1,0,26.0,S,Mrs,1
55,1,male,65.0,0,1,61.9792,C,Mr,0
56,1,male,38.974083333333326,0,0,35.5,S,Mr,1
57,2,female,21.0,0,0,10.5,S,Miss,1
58,3,male,28.5,0,0,7.2292,C,Mr,0
59,2,female,5.0,1,2,27.75,S,Miss,1
60,3,male,11.0,5,2,46.9,S,Master,0
61,3,male,22.0,0,0,7.2292,C,Mr,0
62,1,female,38.0,0,0,80.0,S,Miss,1
63,1,male,45.0,1,0,83.475,S,Mr,0
64,3,male,4.0,3,2,27.9,S,Master,0
65,1,male,31.47465909090909,0,0,27.7208,C,Mr,0
66,3,male,6.522255952380951,1,1,15.2458,C,Master,1
67,2,female,29.0,0,0,10.5,S,Mrs,1
68,3,male,19.0,0,0,8.1583,S,Mr,0
69,3,female,17.0,4,2,7.925,S,Miss,1
70,3,male,26.0,2,0,8.6625,S,Mr,0
71,2,male,32.0,0,0,10.5,S,Mr,0
72,3,female,16.0,5,2,46.9,S,Miss,0
73,2,male,21.0,0,0,73.5,S,Mr,0
74,3,male,26.0,1,0,14.4542,C,Mr,0
75,3,male,32.0,0,0,56.4958,S,Mr,1
76,3,male,25.0,0,0,7.65,S,Mr,0
77,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
78,3,male,29.77810885753248,0,0,8.05,S,Mr,0
79,2,male,0.83,0,2,29.0,S,Master,1
80,3,female,30.0,0,0,12.475,S,Miss,1
81,3,male,22.0,0,0,9.0,S,Mr,0
82,3,male,29.0,0,0,9.5,S,Mr,1
83,3,female,22.385162018537013,0,0,7.7875,Q,Miss,1
84,1,male,28.0,0,0,47.1,S,Mr,0
85,2,female,17.0,0,0,10.5,S,Miss,1
86,3,female,33.0,3,0,15.85,S,Mrs,1
87,3,male,16.0,1,3,34.375,S,Mr,0
88,3,male,29.77810885753248,0,0,8.05,S,Mr,0
89,1,female,23.0,3,2,263.0,S,Miss,1
90,3,male,24.0,0,0,8.05,S,Mr,0
91,3,male,29.0,0,0,8.05,S,Mr,0
92,3,male,20.0,0,0,7.8542,S,Mr,0
93,1,male,46.0,1,0,61.175,S,Mr,0
94,3,male,26.0,1,2,20.575,S,Mr,0
95,3,male,59.0,0,0,7.25,S,Mr,0
96,3,male,29.77810885753248,0,0,8.05,S,Mr,0
97,1,male,71.0,0,0,34.6542,C,Mr,0
98,1,male,23.0,0,1,63.3583,C,Mr,1
99,2,female,34.0,0,1,23.0,S,Mrs,1
100,2,male,34.0,1,0,26.0,S,Mr,0
101,3,female,28.0,0,0,7.8958,S,Miss,0
102,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
103,1,male,21.0,0,1,77.2875,S,Mr,0
104,3,male,33.0,0,0,8.6542,S,Mr,0
105,3,male,37.0,2,0,7.925,S,Mr,0
106,3,male,28.0,0,0,7.8958,S,Mr,0
107,3,female,21.0,0,0,7.65,S,Miss,1
108,3,male,27.484150815728494,0,0,7.775,S,Mr,1
109,3,male,38.0,0,0,7.8958,S,Mr,0
110,3,female,17.031833333333335,1,0,24.15,Q,Miss,1
111,1,male,47.0,0,0,52.0,S,Mr,0
112,3,female,14.5,1,0,14.4542,C,Miss,0
